"base_asset_id","kraken_q2_name","kraken_q2_ticker","candidate_id","candidate_name","candidate_symbol","match_score","match_reasons","already_in_af002","kraken_evidence_url","evidence_note"
"AIR","Altair","AIR","airian","AIRian","air","60","EXACT_SEED_SYMBOL","True","https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca","Kraken explicitly identifies Altair (AIR) and AIR/EUR AIR/USD."
"AIR","Altair","AIR","spacebar","Spacebar","air","60","EXACT_SEED_SYMBOL","True","https://blog.kraken.com/product/trading-for-toke-movr-pha-and-more-starts-now-for-the-usa-and-ca","Kraken explicitly identifies Altair (AIR) and AIR/EUR AIR/USD."
"APENFT","APENFT","APENFT","apenft","AINFT","nft","100","EXACT_SEED_NAME|EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/apenft","Kraken identifies the APENFT asset; alternate current naming/tickers are searched but not assumed equivalent."
"APENFT","APENFT","APENFT","nft-protocol","NFT Protocol","nft","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/apenft","Kraken identifies the APENFT asset; alternate current naming/tickers are searched but not assumed equivalent."
"CQT","Covalent","CQT","covalent-x-token","Covalent X Token","cxt","100","EXACT_SEED_NAME|EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/covalent-x-token","Kraken current asset is Covalent X Token (CXT); seed includes Q2 CQT to inspect migration candidates."
"K","Kinto","K","sidekick","Sidekick","k","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/kinto","Kraken identifies Q2 ticker K as Kinto; AF-002 sidekick candidate is a ticker collision."
"LUNA","Terra Classic","LUNA","luna-by-virtuals","Luna by Virtuals","luna","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/terra-classic","Kraken states original Terra blockchain/token remains LUNA and is Terra Classic."
"LUNA","Terra Classic","LUNA","terra-luna-2","Terra","luna","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/terra-classic","Kraken states original Terra blockchain/token remains LUNA and is Terra Classic."
"LUNA","Terra Classic","LUNA","luna-wormhole","Terra Classic (Wormhole)","lunc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/terra-classic","Kraken states original Terra blockchain/token remains LUNA and is Terra Classic."
"LUNA","Terra Classic","LUNA","terra-luna","Terra Luna Classic","lunc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/terra-classic","Kraken states original Terra blockchain/token remains LUNA and is Terra Classic."
"LUNA","Terra Classic","LUNA","wrapped-terra","Wrapped LUNC","lunc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/terra-classic","Kraken states original Terra blockchain/token remains LUNA and is Terra Classic."
"LUNA2","Terra","LUNA2","terra-luna-2","Terra","luna","100","EXACT_SEED_NAME|EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/terra-classic","Kraken states Terra 2.0 is called LUNA2."
"LUNA2","Terra","LUNA2","luna-by-virtuals","Luna by Virtuals","luna","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/terra-classic","Kraken states Terra 2.0 is called LUNA2."
"NANO","Nano","NANO","nano","Nano","xno","100","EXACT_SEED_NAME|EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/nano","Kraken identifies Nano under ticker NANO; include XNO as current external alias."
"NANO","Nano","NANO","nanopay","nanopay","nano","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/nano","Kraken identifies Nano under ticker NANO; include XNO as current external alias."
"OM","MANTRA","OM","mantra","MANTRA","mantra","80","EXACT_SEED_NAME","False","https://www.kraken.com/prices/mantra","Kraken identifies MANTRA under ticker OM."
"TON","Toncoin","TON","atnt-ondo-tokenized-stock","AT&T (Ondo Tokenized Stock)","ton","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/toncoin","Kraken identifies Toncoin / The Open Network native currency as TON."
"TON","Toncoin","TON","tac-bridged-ton-tac","TAC Bridged TON (TAC)","ton","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/toncoin","Kraken identifies Toncoin / The Open Network native currency as TON."
"TON","Toncoin","TON","tokamak-network","Tokamak Network","ton","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/toncoin","Kraken identifies Toncoin / The Open Network native currency as TON."
"TON","Toncoin","TON","tontoken","TON Community","ton","60","EXACT_SEED_SYMBOL","True","https://www.kraken.com/prices/toncoin","Kraken identifies Toncoin / The Open Network native currency as TON."
"VELODROME","Velodrome Finance","VELODROME","velodrome-finance","Velodrome Finance","velo","80","EXACT_SEED_NAME","False","https://www.kraken.com/prices/velodrome-finance","Kraken identifies Velodrome Finance under ticker VELODROME."
"XXBT","Bitcoin","XBT","bitcoin","Bitcoin","btc","100","EXACT_SEED_NAME|EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","batcat","batcat","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
"XXBT","Bitcoin","XBT","big-tom-coin","Big Tom Coin","btc","60","EXACT_SEED_SYMBOL","False","https://www.kraken.com/prices/bitcoin","Kraken identifies Bitcoin; Q2 AF-001 uses legacy Kraken base XBT."
