base_asset_id,decision_status,approved_coingecko_id,expected_candidate_name,expected_candidate_symbol,evidence_basis,evidence_source_url,observed_kraken_name,observed_kraken_ticker,evidence_scope,review_note
JITOSOL,APPROVED,jito-staked-sol,Jito Staked SOL,jitosol,KRAKEN_MICA_WHITEPAPER_NAME_TICKER,https://assets-cms.kraken.com/files/51n36hrp/facade/21cd74d7f7c63e8dfaaabb3b29549fbaa7f59028.pdf,Jito Staked SOL,JITOSOL,Kraken MiCA whitepaper,Kraken whitepaper identifies Jito Staked SOL (JITOSOL); AF-002 candidate matches.
KP3R,APPROVED,keep3rv1,Keep3rV1,kp3r,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/keep3r,Keep3R,KP3R,current Kraken asset page,Kraken identifies Keep3R/Keep3r Network (KP3R); AF-002 candidate Keep3rV1 has the same protocol ticker and candidate id lineage.
ROOK,APPROVED,rook,Rook,rook,KRAKEN_ASSET_PAGE_PROJECT_TICKER,https://www.kraken.com/buy/rook,KeeperDAO / Rook,ROOK,current Kraken asset page,Kraken's KeeperDAO page describes Rook and the ROOK governance token; AF-002 candidate is Rook (ROOK).
TVK,APPROVED,the-virtua-kolect,Virtua,tvk,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/buy/tvk,Terra Virtua Kolect / The Virtua Kolect,TVK,current Kraken asset page,Kraken identifies Terra Virtua Kolect/The Virtua Kolect and token TVK; AF-002 stable candidate id is the-virtua-kolect and its current candidate name is Virtua.
USDQ,APPROVED,quantoz-usdq,Quantoz USDQ,usdq,KRAKEN_ASSET_PAGE_ISSUER_TICKER,https://www.kraken.com/prices/usdq,USDQ by Quantoz,USDQ,current Kraken asset page,Kraken states USDQ is built by Quantoz and uses ticker USDQ; AF-002 candidate Quantoz USDQ matches.
ATLAS,APPROVED,star-atlas,Star Atlas,atlas,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/star-atlas,Star Atlas,ATLAS,Kraken page listed Jan 25 2022,Kraken identifies Star Atlas (ATLAS) and listing history predates Q2; selects AF-002 Star Atlas.
DYDX,APPROVED,dydx-chain,dYdX,dydx,KRAKEN_ASSET_PAGE_CHAIN_IDENTITY,https://www.kraken.com/prices/dydx,dYdX,DYDX,Kraken page listed Sep 9 2021,Kraken identifies DYDX as dYdX operating on its own blockchain; selects AF-002 dydx-chain rather than Wormhole representation.
EOS,APPROVED,eos,EOS,eos,KRAKEN_ASSET_PAGE_CANONICAL_TICKER,https://www.kraken.com/prices/eos,EOS,EOS,Kraken historical price page,Kraken identifies canonical EOS (EOS); selects AF-002 eos rather than Binance-Peg EOS.
GHIBLI,APPROVED,ghiblification,Ghiblification,ghibli,KRAKEN_MICA_WHITEPAPER_NAME_TICKER,https://assets-cms.kraken.com/files/51n36hrp/facade/3f5b5a99f699fa914a3dfa8d3603cedaab515ce3.pdf,Ghiblification,GHIBLI,Kraken MiCA whitepaper,Kraken whitepaper identifies Ghiblification (GHIBLI); AF-002 candidate matches.
MC,APPROVED,merit-circle,Merit Circle,mc,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/merit-circle,Merit Circle,MC,current Kraken asset page with 2025 history,Kraken identifies Merit Circle (MC); selects AF-002 Merit Circle.
ORDER,APPROVED,orderly-network,Orderly,order,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/orderly-network,Orderly Network,ORDER,current Kraken asset page,Kraken identifies Orderly Network (ORDER); selects AF-002 orderly-network / Orderly.
SONIC,APPROVED,sonic-svm,Sonic SVM,sonic,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/sonic-svm,Sonic SVM,SONIC,Kraken page listed Feb 4 2025 before Q2,Kraken identifies Sonic SVM (SONIC); selects AF-002 sonic-svm.
TOKE,APPROVED,tokemak,Auto Finance [OLD],toke,KRAKEN_ASSET_PAGE_LEGACY_PROJECT_TICKER,https://www.kraken.com/prices/tokemak,Tokemak,TOKE,current Kraken legacy asset page,Kraken identifies Tokemak (TOKE); AF-002 candidate id tokemak is the legacy CoinGecko record now labelled Auto Finance [OLD] with ticker TOKE.
TUSD,APPROVED,true-usd,TrueUSD,tusd,KRAKEN_ASSET_PAGE_CANONICAL_TICKER,https://www.kraken.com/prices/true-usd,True USD,TUSD,current Kraken asset page,Kraken identifies canonical True USD/TrueUSD (TUSD); selects AF-002 true-usd rather than Bridged TrueUSD.
VINE,APPROVED,vine,Vine,vine,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/gb/prices/vine,Vine / Vine Coin,VINE,Kraken page listed Feb 4 2025 before Q2,Kraken identifies Vine Coin (VINE); selects AF-002 vine over Do it for the Vine.
