"base_asset_id","alias_text","alias_type","source_requires_crypto_context","observed_documents","strict_context_sample_rows","semantic_decision","evidence_type","evidence_reference","decision_note"
"AAVE","Aave","manual_core_name","False","51","8","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=8. This approves alias identity only, not the Stage 3 matching rule."
"ADA","Cardano","manual_core_name","False","335","8","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=8. This approves alias identity only, not the Stage 3 matching rule."
"ALGO","Algorand","manual_core_name","False","14","11","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=11. This approves alias identity only, not the Stage 3 matching rule."
"APT","Aptos","manual_core_name","False","75","2","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=2. This approves alias identity only, not the Stage 3 matching rule."
"ARB","Arbitrum","manual_core_name","False","31","6","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=6. This approves alias identity only, not the Stage 3 matching rule."
"ATOM","Cosmos","manual_core_name","True","237","0","APPROVED_ALIAS_IDENTITY","OFFICIAL_PROJECT_CORROBORATION","https://cosmos.network/","Official Cosmos site identifies Cosmos Hub as the home of ATOM; Cosmos is an approved operational news alias for the ATOM asset. Collision/context handling remains a Stage 3 requirement."
"AVAX","Avalanche","manual_core_name","True","1796","0","APPROVED_ALIAS_IDENTITY","OFFICIAL_PROJECT_CORROBORATION","https://docs.avax.network/docs/primary-network/avax-token","Official Avalanche documentation identifies AVAX as the native utility token of Avalanche. Collision/context handling remains a Stage 3 requirement."
"BCH","Bitcoin Cash","manual_core_name","False","198","12","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=12. This approves alias identity only, not the Stage 3 matching rule."
"BNB","Binance Coin","manual_core_name","False","146","10","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=10. This approves alias identity only, not the Stage 3 matching rule."
"BONK","Bonk","manual_core_name","True","78","9","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=9. This approves alias identity only, not the Stage 3 matching rule."
"CRO","Cronos","manual_core_name","False","94","4","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=4. This approves alias identity only, not the Stage 3 matching rule."
"DAI","Dai","manual_core_name","True","230","0","APPROVED_ALIAS_IDENTITY","OFFICIAL_PROJECT_CORROBORATION","https://makerdao.com/en/whitepaper/","Official MakerDAO/Sky whitepaper identifies Dai as the protocol stablecoin. Collision/context handling remains a Stage 3 requirement."
"DOT","Polkadot","manual_core_name","False","42","10","APPROVED_ALIAS_IDENTITY","GDELT_HIGH_CONFIDENCE_CRYPTO_CONTEXT_SAMPLE","docs/evidence/stage2-alias-context-sample-evidence.csv","At least one bounded GDELT recovery sample satisfies the conservative diagnostic context rule; strict_rule_rows=10. This approves alias identity only, not the Stage 3 matching rule."
