base_asset_id,decision_status,approved_coingecko_id,expected_candidate_name,expected_candidate_symbol,evidence_basis,evidence_source_url,observed_kraken_name,observed_kraken_ticker,evidence_scope,review_note
ACX,APPROVED,across-protocol,Across Protocol,acx,KRAKEN_HISTORICAL_LISTING_NAME_TICKER,https://blog.kraken.com/product/asset-listings/acx-clv-and-flux-are-available-for-trading,Across Protocol,ACX,2025-02-05 listing before Q2,Kraken explicitly listed Across Protocol (ACX); AF-002 candidate has same project and ticker.
AGLD,APPROVED,adventure-gold,Adventure Gold,agld,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/adventure-gold,Adventure Gold,AGLD,current page with 2025 history,Kraken identifies Adventure Gold (AGLD); AF-002 candidate has same project and ticker.
AI16Z,APPROVED,ai16z,ai16z,ai16z,KRAKEN_MICA_HISTORY_NAME_TICKER,https://www.kraken.com/legal/mica-whitepapers/history,AI16Z,AI16Z,decommissioned 2025-10-06 after Q2,Kraken historical registry preserves AI16Z (AI16Z); AF-002 candidate has same ticker/name.
ALCH,APPROVED,alchemist-ai,Alchemist AI,alch,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/alchemist-ai,Alchemist AI,ALCH,current page with 2025 history,Kraken identifies Alchemist AI (ALCH); AF-002 candidate matches.
ANLOG,APPROVED,analog,Analog,anlog,KRAKEN_MICA_HISTORY_NAME_TICKER,https://www.kraken.com/legal/mica-whitepapers/history,Analog,ANLOG,decommissioned 2026-05-01,Kraken historical registry preserves Analog (ANLOG); AF-002 candidate matches.
ASRR,APPROVED,assisterr-ai,Assisterr AI,asrr,KRAKEN_MICA_HISTORY_NAME_TICKER,https://www.kraken.com/legal/mica-whitepapers/history,Assisterr,ASRR,decommissioned 2026-06-29,Kraken registry identifies Assisterr (ASRR); AF-002 candidate Assisterr AI uses same unique ticker/project.
BDXN,APPROVED,bondex,Bondex,bdxn,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/bondex,Bondex,BDXN,current page with 2025 history,Kraken identifies Bondex (BDXN); AF-002 candidate matches.
BOND,APPROVED,barnbridge,BarnBridge,bond,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/barnbridge,BarnBridge,BOND,current page,Kraken identifies BarnBridge (BOND); AF-002 candidate matches.
CMETH,APPROVED,mantle-restaked-eth,Mantle Restaked ETH,cmeth,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/mantle-restaked-eth,Mantle Restaked ETH,CMETH,current page,Kraken identifies Mantle Restaked ETH (CMETH); AF-002 candidate matches.
DOLO,APPROVED,dolomite,Dolomite,dolo,KRAKEN_ASSET_PAGE_NAME_TICKER,https://www.kraken.com/prices/dolomite,Dolomite,DOLO,current page,Kraken identifies Dolomite (DOLO); AF-002 candidate matches.
