"base_asset_id","base_exchange_symbol","market_pair_count_observed","market_observation_count_observed","current_candidate_count","current_candidate_ids","current_candidate_names","pair_count_status","observation_count_status","exchange_symbol_status","candidate_json_parse_status","candidate_json_count_status","candidate_id_set_status","candidate_json_sha256_status","source_mapping_approved","cfa_mapping_decision","cfa_mapping_review_state"
"USDC","USDC","7","400719","60","anubis-bridged-usdc-anubis|beam-bridged-usdc-beam|bifrost-bridged-usdc-bifrost|binance-bridged-usdc-bnb-smart-chain|bridged-usdc|bridged-usdc-chainport|bridged-usdc-core|bridged-usdc-immutable-zkevm|bridged-usdc-moonriver|bridged-usd-coin-linea|bridged-usd-coin-manta-pacific|bridged-usd-coin-scroll|bridged-usd-coin-starkgate|ccip-bridged-usdc-ronin|celer-bridged-usdc-astar|celer-bridged-usdc-conflux|celer-bridged-usdc-filecoin|cronos-bridged-usdc-cronos|cronos-zkevm-bridged-usdc-cronos-zkevm|eclipse-bridged-usdc-eclipse|edu-chain-bridged-usdc-edu-chain|energi-bridged-usdc-energi|fraxtal-bridged-usdc-fraxtal|gnosis-xdai-bridged-usdc-gnosis|hyperlane-bridged-usdc-igra|hyperlane-bridged-usdc-lukso|hyperlane-bridged-usdc-mantra-evm|ima-bridged-usdc-skale|initia-bridged-usdc-initia|kucoin-bridged-usdc-kucoin-community-chain|layerzero-bridged-usdc-aptos|layerzero-bridged-usdc-etherlink|lens-bridged-usdc-lens|mantle-bridged-usdc-mantle|mode-bridged-usdc-mode|morph-l2-bridged-usdc-morph-l2|multichain-bridged-usdc-dogechain|multichain-bridged-usdc-fantom|near-intents-bridged-usdc|neonpass-bridged-usdc-neon|nomad-bridged-usdc-moonbeam|nova-usdc|official-arbitrum-bridged-usdc-arbitrum-nova|polygon-hermez-bridged-usdc-polygon-zkevm|polygon-hermez-bridged-usdc-x-layer|q-bridged-usdc-q-mainnet|rainbow-bridged-usdc-aurora|shido-bridged-usdc|sophon-bridged-usdc-sophon|superseed-bridged-usdc-superseed|synapse-bridged-usdc-elastos|taiko-bridged-usdc-taiko|thundercore-bridged-usdc-thundercore|upside-down-cat|usd-coin|usd-coin-pulsechain|wanchain-bridged-usdc-cardano|wormhole-bridged-usdc-fantom|zero-network-bridged-usdc-zero-network|zksync-bridged-usdc-zksync","Anubis Bridged USDC (Anubis)|Arbitrum Bridged USDC (Arbitrum Nova)|Arbitrum Bridged USDC (EDU Chain)|Beam Bridged USDC (Beam)|Bifrost Bridged USDC (Bifrost)|Binance Bridged USDC (BNB Smart Chain)|Bridged USD Coin (Manta Pacific)|Bridged USD Coin (PulseChain)|Bridged USD Coin (Scroll)|Bridged USDC|Bridged USDC (Immutable zkEVM)|Bridged USDC (Moonriver)|CCIP Bridged USDC (Ronin)|Celer Bridged USDC (Astar)|Celer Bridged USDC (Conflux)|Celer Bridged USDC (Filecoin)|Chainport Bridged USDC (Humanode)|CoreDAO Bridged USDC (Core)|Cronos Bridged USDC (Cronos)|Cronos zkEVM Bridged USDC (Cronos zkEVM)|Eclipse Bridged USDC (Eclipse)|Energi Bridged USDC (Energi)|Etherlink Bridged USDC (Etherlink)|Fraxtal Bridged USDC (Fraxtal)|Gnosis xDAI Bridged USDC (Gnosis)|Hyperlane Bridged USDC (Igra)|Hyperlane Bridged USDC (LUKSO)|Hyperlane Bridged USDC (Mantra EVM)|Initia Bridged USDC (Initia)|KCC Bridged USDC (KuCoin Community Chain)|LayerZero Bridged USDC (Aptos)|Lens Bridged USDC (Lens)|Linea Bridged USDC (Linea)|Mantle Bridged USDC (Mantle)|Mode Bridged USDC (Mode)|Morph L2 Bridged USDC (Morph L2)|Multichain Bridged USDC (Dogechain)|Multichain Bridged USDC (Fantom)|NEAR Intents Bridged USDC|NeonPass Bridged USDC (Neon)|Nomad Bridged USDC (Moonbeam)|Polygon Hermez Bridged USDC (Polygon zkEVM)|Polygon Hermez Bridged USDC (X Layer)|Q Bridged USDC (Q Mainnet)|Rainbow Bridged USDC (Aurora)|Shido Bridged USDC (Shido)|Skale IMA Bridged USDC (Skale)|Sophon Bridged USDC (Sophon)|StarkGate Bridged USDC (Starknet)|Superseed Bridged USDC (Superseed)|Synapse Bridged USDC (Elastos)|Taiko Bridged USDC (Taiko)|Thundercore Bridged USDC (Thundercore)|UpSide Down Cat|USDC|Wanchain Bridged USDC (Cardano)|Wormhole Bridged USDC (Fantom)|Zero Network Bridged USDC (Zero Network)|zkLink Nova Merged Bridged USDC (zkLink Nova)|zkSync Bridged USDC (zkSync)","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"USDT","USDT","7","426863","48","abstract-bridged-usdt-abstract|alcor-ibc-bridged-usdt-wax|areon-bridged-usdt-areon-network|beam-bridged-usdt-beam|bob-network-bridged-usdt-bob-network|bot-chain-bridged-usdt-bot-chain|bridged-tether-fuse|bridged-tether-linea|bridged-tether-manta-pacific|bridged-tether-opbnb|bridged-tether-scroll|bridged-tether-starkgate|bridged-usdt|bridged-usdt-core|celer-bridged-usdt-astar|celer-bridged-usdt-conflux|cronos-bridged-usdt-cronos|eni-bridged-usdt-eni|gnosis-xdai-bridged-usdt-gnosis|hieswap-bridged-usdt-fonchain|injective-bridged-usdt-injective|kaia-bridged-usdt-kaia|krown-bridged-usdt-krown|kub-bridged-usdt-kub|kucoin-bridged-usdt-kucoin-community-chain|l2-standard-bridged-usdt-base|lisk-bridged-usdt|mode-bridged-usdt-mode|morph-l2-bridged-usdt-morph-l2|near-intents-bridged-usdt|nova-tether-usd|osmosis-allusdt|polygon-hermez-bridged-usdt-polygon-zkevm|polygon-hermez-bridged-usdt-x-layer|redbelly-bridged-usdt-redbelly|shimmerbridge-bridged-usdt-shimmerevm|soneium-bridged-usdt-soneium|sonic-bridged-usdt-sonic|sophon-bridged-usdt-sophon|stargate-bridged-usdt|tac-bridged-usdt-tac|tether|tether-pulsechain|tether-usd-wormhole-from-ethereum|thundercore-bridged-usdt-thundercore|unichain-bridged-usdt-unichain|units-network-bridged-usdt-units-network|viction-bridged-usdt","Abstract Bridged USDT (Abstract)|Alcor IBC Bridged USDT (WAX)|Areum Bridged USDT (Areum Network)|Arken Bridged USDT (Viction)|Beam Bridged USDT (Beam)|BOB Network Bridged USDT (BOB Network)|BOT Chain Bridged USDT (BOT Chain)|Bridged USDT|Celer Bridged USDT (Astar)|Celer Bridged USDT (Conflux)|CoreDAO Bridged USDT (Core)|Cronos Bridged USDT (Cronos)|ENI Bridged USDT (ENI)|Fuse Bridged USDT (Fuse)|HieSwap Bridged USDT (FONChain)|Injective Bridged USDT (Injective)|KCC Bridged USDT (Kucoin Community Chain)|Krown Bridged USDT (Krown)|KUB Bridged USDT (KUB)|L2 Standard Bridged USDT (Base)|Linea Bridged USDT (Linea)|Lisk Bridged USDT (Lisk)|Lucid Bridged USDT (Redbelly)|Manta Pacific Bridged USDT (Manta Pacific)|Mode Bridged USDT (Mode)|Morph L2 Bridged USDT (Morph L2)|NEAR Intents Bridged USDT|Nova Merged USDT (zkLink)|opBNB Bridged USDT (opBNB)|Osmosis allUSDT|Polygon Hermez Bridged USDT (Polygon zkEVM)|Polygon Hermez Bridged USDT (x Layer)|Pulsechain Bridged USDT (Pulsechain)|Scroll Bridged USDT (Scroll)|ShimmerBridge Bridged USDT (ShimmerEVM)|Soneium Bridged USDT (Soneium)|Sonic Gateway Bridged USDT (Sonic)|Sophon Bridged USDT (Sophon)|Stargate Bridged USDT|StarkGate Bridged USDT (StarkNet)|TAC Bridged USDT (TAC)|Tether|Thundercore Bridged USDT (Thundercore)|Unichain Bridged USDT (Unichain)|Unit Zero Network Bridged USDT (Unit Zero Network)|Wormhole Bridged USDT|Wormhole Bridged USDT (Kaia)|xDai Bridged USDT (Gnosis)","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"WBTC","WBTC","3","15628","36","arbitrum-bridged-wbtc-arbitrum-one|bridged-btc-superposition|bridged-wbtc|bridged-wrapped-bitcoin-bob-network|bridged-wrapped-bitcoin-scroll|bridged-wrapped-bitcoin-starkgate|bridged-wrapped-bitcoin-worldchain|celer-bridged-wbtc-conflux|celo-bridged-wbtc-celo|cronos-bridged-wbtc-cronos|cronos-zkevm-bridged-wbtc-cronos-zkevm|etherlink-bridged-wbtc-etherlink|eureka-bridged-wbtc-neutron|eureka-bridged-wbtc-terra|fantom-bridged-wbtc-fantom|fuse-bridged-wbtc-fuse|gnosis-xdai-bridged-wbtc-gnosis-chain|hemi-bridged-wbtc-hemi|linea-bridged-wbtc-linea|lisk-bridged-wbtc-lisk|merlin-chain-bridged-wrapped-btc-merlin|metis-bridged-wbtc-metis-andromeda|mode-bridged-wbtc-mode|multichain-bridged-wbtc-energi|multichain-bridged-wbtc-moonriver|polygon-bridged-wbtc-polygon-pos|polygon-zkevm-bridged-wbtc-polygon-zkevm|rainbow-bridged-wbtc-aurora|rainbow-bridged-wbtc-near-protocol|skale-ima-bridged-wbtc|sui-bridged-wbtc-sui|unichain-bridged-wbtc-unichain-2|wrapped-bitcoin|wrapped-bitcoin-pulsechain|wrapped-btc-wormhole|zksync-bridged-wbtc-zksync","Arbitrum Bridged WBTC (Arbitrum One)|Bridged BTC (Superposition)|Bridged WBTC|Bridged Wrapped Bitcoin (BOB Network)|Bridged Wrapped Bitcoin (Scroll)|Bridged Wrapped Bitcoin (StarkGate)|Bridged Wrapped Bitcoin (Worldchain)|Celer Bridged WBTC (Conflux)|Celo Bridged WBTC (Celo)|Cronos Bridged WBTC (Cronos)|Cronos zkEVM Bridged WBTC (Cronos zkEVM)|Etherlink Bridged WBTC (Etherlink)|Eureka Bridged WBTC (Neutron)|Eureka Bridged WBTC (Terra)|Fantom Bridged WBTC (Fantom)|Fuse Bridged WBTC (Fuse)|Gnosis xDai Bridged WBTC (Gnosis Chain)|Hemi Bridged WBTC (Hemi)|Linea Bridged WBTC (Linea)|Lisk Bridged Wrapped Bitcoin (Lisk)|Merlin Chain Bridged Wrapped BTC (Merlin)|Metis Bridged WBTC (Metis Andromeda)|Mode Bridged WBTC (Mode)|Multichain Bridged WBTC (Energi)|Multichain Bridged WBTC (Moonriver)|Polygon Bridged WBTC (Polygon POS)|Polygon zkEVM Bridged WBTC (Polygon zkEVM)|Rainbow Bridged WBTC (Aurora)|Rainbow Bridged WBTC (Near Protocol)|Skale IMA Bridged WBTC|Sui Bridged WBTC (Sui)|Unichain Bridged WBTC (Unichain)|Wrapped Bitcoin|Wrapped Bitcoin (PulseChain)|Wrapped BTC (Wormhole)|zkSync Bridged WBTC (zkSync)","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"DAI","DAI","3","22057","28","anubis-bridged-dai-anubis|avalanche-bridged-dai-avalanche|binance-peg-dai|bridged-dai|bridged-dai-stablecoin-linea|bridged-dai-starkgate|celer-bridged-dai-astar|crypto-com-bridged-dai-cronos|dai|dai-on-pulsechain|dai-pulsechain|harmony-horizon-bridged-dai-harmony-shard-0|l2-standard-bridged-dai-base|makerdao-arbitrum-bridged-dai-arbitrum-one|makerdao-arbitrum-nova-dai-bridge-arbitrum-nova|makerdao-optimism-bridged-dai-optimism|multichain-bridged-dai-energi|multichain-bridged-dai-fantom|multichain-bridged-dai-moonbeam|multichain-bridged-dai-moonriver|nova-dai|omnibridge-bridged-dai-gnosis-chain|polygon-pos-bridged-dai-polygon-pos|polygon-zkevm-bridged-dai-polygon-zkevm|rainbow-bridged-dai-aurora|rainbow-bridged-dai-near-protocol|starkgate-bridged-dai-v2-starknet|zksync-erc20-bridged-dai-zksync","Anubis Bridged DAI (Anubis)|Avalanche Bridged DAI (Avalanche)|Binance-Peg DAI|Bridged DAI|Bridged DAI (PulseChain)|Bridged Dai Stablecoin (Linea)|Celer Bridged DAI (Astar)|Crypto.com Bridged DAI (Cronos)|Dai|DAI on PulseChain|Harmony Horizon Bridged DAI (Harmony Shard 0)|L2 Standard Bridged DAI (Base)|MakerDAO Arbitrum Bridged DAI (Arbitrum One)|MakerDAO Arbitrum Nova DAI Bridge (Arbitrum Nova)|MakerDAO Optimism Bridged DAI (Optimism)|Multichain Bridged DAI (Energi)|Multichain Bridged DAI (Fantom)|Multichain Bridged DAI (Moonbeam)|Multichain Bridged DAI (Moonriver)|Nova Merged DAI (zkLink)|OmniBridge Bridged DAI (Gnosis Chain)|Polygon PoS Bridged DAI (Polygon POS)|Polygon zkEVM Bridged DAI (Polygon zkEVM)|Rainbow Bridged DAI (Aurora)|Rainbow Bridged DAI (Near Protocol)|StarkGate Bridged Dai (Starknet)|StarkGate Bridged Dai V2 (Starknet)|ZKsync ERC20 Bridged DAI (zkSync)","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"PEPE","PEPE","5","154492","21","baby-pepe-5|based-pepe|el-sapo-pepe|next-gen-pepe|pepe|pepe-0x69-on-base|pepe-2|pepebrc|pepecoin-on-sol|pepecoin-on-solana|pepe-cto|pepe-gold|pepe-in-hood|pepe-king-prawn|pepe-on-solana|pepesol|pepe-sol|pepe-solana|pepe-token|pepewifhood|the-chosen-frog","BABY PEPE|Based Pepe|El Sapo Pepe|Next Gen PEPE|Pepe|PEPE (Ordinals)|Pepe (Solana)|PEPE 0x69 ON BASE|Pepe Community|Pepe CTO|PEPE GOLD|Pepe in Hood|Pepe King Prawn|Pepe on SOL|Pepe on Solana|PEPECOIN on SOL|PepeCoin on Solana|PepeSol|PepeWifHood|THE CHOSEN FROG|The Original Pepe","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"MOON","MOON","2","4753","15","black-unicorn-corp|honeymoon-token|just-mooncoin|lightspeed-to-the-moon|millionaire-out-of-nowhere|moon|moon-2|moon-3|moon-4|moonbase-2|moon-bay-2|mooncoin-4|moonflow|moon-inu|moon-moon","Black Unicorn Corp.|HoneyMOON|just mooncoin|Lightspeed to the Moon!|Millionaire Out Of Nowhere|Moon|Moon|MOON|Moon Bay|MOON INU|Moon Moon|MoonBase|MOONCOIN|Moonflow [OLD]|r/CryptoCurrency Moons","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"CAT","CAT","2","1896","15","cat-2|cat-3|cat-call-agent|cat-cat-token|catcoin|catcoin-bsc|catcoin-cash|catcoin-eth|caterpillar-dinari-tokenized-stock|cat-inu|catson|cat-terminal|cat-token|simon-s-cat|sol-cat","Cat|cat|CAT|Cat Call Agent|CAT INU|CAT Terminal|Catcoin|Catcoin|Catcoin (ETH)|Catcoin BSC|Caterpillar (Dinari Tokenized Stock)|Catson|Liquid Cat|Mooncat CAT|Simon's Cat","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"XETH","ETH","12","551236","14","anubis-bridged-eth-anubis|bifrost-bridged-eth-bifrost|bridged-binance-peg-ethereum-opbnb|bridged-wrapped-ether-eclipse|bridged-wrapped-ether-starkgate|ethereum|ethereum-wormhole|immutable-zkevm-bridged-eth|krown-bridged-eth-krown|near-intents-bridged-eth|nova-eth|osmosis-alleth|the-infinite-garden|the-ticker-is-eth","Anubis Bridged ETH (Anubis)|Bifrost Bridged ETH (Bifrost)|Bridged Binance-Peg Ethereum (opBNB)|Bridged Ether (StarkGate)|Bridged Wrapped Ether (Eclipse)|Ethereum|Ethereum (Wormhole)|Immutable zkEVM Bridged ETH|Krown Bridged ETH (Krown)|NEAR Intents Bridged ETH|Nova Merged ETH (zkLink)|Osmosis allETH|The Infinite Garden|The Ticker Is ETH","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"SOL","SOL","9","523568","11","allbridge-bridged-sol-near-protocol|base-bridged-sol-base|binance-peg-sol|hyperlane-bridged-sol-eclipse|near-intents-bridged-sol|neonpass-bridged-sol-neon-evm|osmosis-allsol|solana|sol-the-trophy-tomato|wormhole-bridged-sol|wormhole-bridged-wrapped-sol-sui","Allbridge Bridged SOL (Near Protocol)|Base Bridged SOL (Base)|Binance-Peg SOL|Hyperlane Bridged SOL (Eclipse)|NEAR Intents Bridged SOL|NeonPass Bridged SOL (Neon EVM)|Osmosis allSOL|Sol The Trophy Tomato|Solana|Wormhole Bridged SOL|Wormhole Bridged Wrapped SOL (Sui)","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
"DOG","DOG","2","3688","11","base-dog|basic-dog-meme|dog-4|dog-go-to-the-moon-rune|its-just-a-dog|it-s-just-a-dog|just-a-dog|ledog-dog|nietzschean-dog|the-crypto-dog|the-doge-nft","Base DOG|Basic Dog Meme|DOG|Dog (Bitcoin)|It's just a Dog|It's just a Dog|just a dog|LEDOG (DOG)|Nietzschean Dog|Own The Doge|The Crypto Dog","PASS","PASS","PASS","PASS","PASS","PASS","PASS","False","UNVERIFIED","UNVERIFIED_AMBIGUOUS_CANDIDATES"
